;;P;;;;;;;;;;;;;;;;;;;
Fournisseur;Ref LF;Produit;Livr‚ le;Quantit‚;Prix;Nbre de pdts d‚fectueux;Date de notification;Demande de remboursement;Montant Rembours‚;Remboursement;Forme;Statut;Avoir LF;Date du remboursement;ProblŠmes;Avancement;;;;;
WOHLSTAND;3631;Bosus Roses;24/09/14;80;$29,40;80;03/11/14;$2ÿ352,00;$2ÿ352,00;Complet;Remboursement;ok;ok;Pr‚lev‚ sur cde WSC0911;Ils explosent;;;;;;
WOHLSTAND;1559;Foam roller blanc;10/09/14;1000;$5,65;500;19/10/14;$2ÿ825,00;;Complet;Renvoi de pdts;ok;ok;500 renvoy‚s gratuitement;Ils ne sont pas cylindrique, pas de la mˆme taille;;;;;;
WOHLSTAND;1682;Pilates ring;15/02/14;3000;$2,75;500;19/10/14;$1ÿ375,00;;Complet;Renvoi de pdts;ok;ok;500 renvoy‚s gratuitement;Ils ne tiennent pas, la mousse se d‚colle;;;;;;
WOHLSTAND;1682;Pilates ring;10/09/14;500;;500;19/10/14;$1ÿ375,00;$1ÿ375,00;Complet;Remboursement;ok;ok;Pr‚lev‚ sur cde WSC0777;Ils ne tiennent pas, la mousse se d‚colle;;;;;;
WOHLSTAND;1697;Rack 10 Kit Pump;15/02/14;60;$41,00;20;19/10/14;$820,00;$410,00;50%;Remboursement;ok;ok;Pr‚lev‚ sur cde WSC0911;Pr‚sence de rouille sur les produits;;;;;;
WOHLSTAND;1716;Rack Mural;24/09/14;100;$4,80;100;19/10/14;$480,00;$480,00;Complet;Remboursement;ok;ok;Pr‚lev‚ sur cde WSC0777;Espace trop court entre les barres , les tapis ne rentrent pas;;;;;;
WOHLSTAND;1445 / 1447;Ballon Paille Bleu/violet;15/02/14;2800;$0,44;1400;19/10/14;$616,00;$616,00;Complet;Remboursement;ok;ok;Pr‚lev‚ sur cde WSC0777;Produits ovals et de diff‚rentes tailles;;;;;;
WOHLSTAND;2345;Rack 5 medecine balls;20/02/15;5;$24,40;5;25/03/15;$122,00;$122,00;Complet;Remboursement;ok;ok;Pr‚lev‚ sur cde WSC1153;il y a du jeu entre les 2 parties du rack;;;;;;
